Incident_Number,Short_Description,Category,Priority,Status,Opened_At,Resolved_At,Closed_At,Assigned_To,Caller
INC0000001,Incident issue 1,Network,Critical,Closed,6/14/2024,6/17/2024,6/20/2024,Engineer_2,User_12
INC0000002,Incident issue 2,Network,Critical,Resolved,10/25/2024,10/26/2024,10/27/2024,Engineer_7,User_3
INC0000003,Incident issue 3,Network,Critical,In Progress,5/3/2024,,,Engineer_10,User_2
INC0000004,Incident issue 4,Network,High,New,10/22/2024,,,Engineer_9,User_28
INC0000005,Incident issue 5,Application,Critical,Closed,3/9/2024,3/14/2024,3/17/2024,Engineer_5,User_18
INC0000006,Incident issue 6,Database,Critical,Closed,4/2/2024,4/4/2024,4/5/2024,Engineer_2,User_19
INC0000007,Incident issue 7,Security,Low,On Hold,1/31/2024,,,Engineer_8,User_19
INC0000008,Incident issue 8,Application,High,In Progress,8/20/2024,,,Engineer_2,User_19
INC0000009,Incident issue 9,Database,Low,On Hold,6/2/2024,,,Engineer_10,User_3
INC0000010,Incident issue 10,Application,Medium,In Progress,3/1/2024,,,Engineer_8,User_14
INC0000011,Incident issue 11,Infrastructure,Medium,On Hold,1/21/2024,,,Engineer_6,User_20
INC0000012,Incident issue 12,Network,Critical,On Hold,9/11/2024,,,Engineer_8,User_23
INC0000013,Incident issue 13,Infrastructure,Low,On Hold,2/3/2024,,,Engineer_7,User_29
INC0000014,Incident issue 14,Database,High,Closed,6/26/2024,6/27/2024,6/30/2024,Engineer_2,User_16
INC0000015,Incident issue 15,Application,High,Resolved,1/31/2024,2/4/2024,2/6/2024,Engineer_7,User_30
INC0000016,Incident issue 16,Security,Low,Closed,9/11/2024,9/13/2024,9/14/2024,Engineer_5,User_29
INC0000017,Incident issue 17,Infrastructure,Medium,Resolved,3/11/2024,3/25/2024,3/28/2024,Engineer_6,User_22
INC0000018,Incident issue 18,Network,High,In Progress,7/13/2024,,,Engineer_4,User_22
INC0000019,Incident issue 19,Infrastructure,High,On Hold,4/29/2024,,,Engineer_5,User_1
INC0000020,Incident issue 20,Infrastructure,Medium,In Progress,3/15/2024,,,Engineer_9,User_20
INC0000021,Incident issue 21,Security,Low,Resolved,1/28/2024,2/5/2024,2/8/2024,Engineer_2,User_16
INC0000022,Incident issue 22,Network,High,Resolved,7/24/2024,7/25/2024,7/26/2024,Engineer_3,User_4
INC0000023,Incident issue 23,Network,Critical,Closed,6/23/2024,7/3/2024,7/3/2024,Engineer_3,User_18
INC0000024,Incident issue 24,Network,High,Closed,2/21/2024,2/27/2024,2/27/2024,Engineer_7,User_5
INC0000025,Incident issue 25,Security,Critical,New,5/9/2024,,,Engineer_8,User_15
INC0000026,Incident issue 26,Network,High,New,9/2/2024,,,Engineer_6,User_24
INC0000027,Incident issue 27,Infrastructure,Critical,In Progress,5/15/2024,,,Engineer_9,User_12
INC0000028,Incident issue 28,Infrastructure,Medium,New,3/16/2024,,,Engineer_5,User_17
INC0000029,Incident issue 29,Database,High,Closed,7/6/2024,7/21/2024,7/22/2024,Engineer_9,User_25
INC0000030,Incident issue 30,Infrastructure,High,In Progress,9/14/2024,,,Engineer_7,User_24
INC0000031,Incident issue 31,Database,Critical,New,4/26/2024,,,Engineer_5,User_16
INC0000032,Incident issue 32,Security,Medium,On Hold,5/12/2024,,,Engineer_2,User_8
INC0000033,Incident issue 33,Application,Medium,In Progress,2/22/2024,,,Engineer_8,User_20
INC0000034,Incident issue 34,Network,Critical,Resolved,1/1/2024,1/9/2024,1/11/2024,Engineer_4,User_16
INC0000035,Incident issue 35,Network,Low,Resolved,4/1/2024,4/8/2024,4/10/2024,Engineer_7,User_24
INC0000036,Incident issue 36,Application,High,New,2/13/2024,,,Engineer_3,User_19
INC0000037,Incident issue 37,Infrastructure,Low,On Hold,8/26/2024,,,Engineer_3,User_18
INC0000038,Incident issue 38,Network,Critical,Closed,10/7/2024,10/10/2024,10/10/2024,Engineer_3,User_14
INC0000039,Incident issue 39,Network,Medium,In Progress,4/9/2024,,,Engineer_5,User_17
INC0000040,Incident issue 40,Database,Low,In Progress,5/3/2024,,,Engineer_1,User_30
INC0000041,Incident issue 41,Infrastructure,Low,Closed,6/30/2024,7/15/2024,7/18/2024,Engineer_3,User_18
INC0000042,Incident issue 42,Security,High,Closed,3/18/2024,3/27/2024,3/27/2024,Engineer_1,User_25
INC0000043,Incident issue 43,Security,Critical,Closed,3/17/2024,3/20/2024,3/21/2024,Engineer_1,User_11
INC0000044,Incident issue 44,Network,Critical,In Progress,9/22/2024,,,Engineer_4,User_9
INC0000045,Incident issue 45,Infrastructure,Low,Closed,1/22/2024,2/4/2024,2/4/2024,Engineer_1,User_25
INC0000046,Incident issue 46,Infrastructure,High,On Hold,2/2/2024,,,Engineer_8,User_17
